,Fehu,Uruz,Thurisaz,Ansuz,Raido,Kenaz,Gebo,Wunjo,Hagal,Nauthiz,Isa,Jera,Eihwaz,Perthro,Algiz,Sowilo,Tiwaz,Berkano,Ehwaz,Mannaz,Laguz,Ingwaz,Dagaz,Othala
Fehu,0.0,0.195,0.386,0.195,0.195,0.186,0.0,0.0,0.0,0.457,0.0,0.498,0.333,0.195,0.195,0.333,0.307,0.0,0.317,0.124,0.302,0.248,0.369,0.7
Uruz,0.195,0.0,0.324,0.0,0.0,0.0,0.0,0.195,0.195,0.395,0.195,0.562,0.333,0.0,0.0,0.395,0.245,0.195,0.245,0.195,0.374,0.186,0.307,0.562
Thurisaz,0.386,0.324,0.0,0.324,0.324,0.324,0.324,0.386,0.176,0.186,0.324,0.324,0.124,0.324,0.324,0.555,0.245,0.386,0.455,0.395,0.386,0.124,0.317,0.498
Ansuz,0.195,0.0,0.324,0.0,0.0,0.0,0.0,0.195,0.195,0.395,0.195,0.562,0.333,0.0,0.0,0.395,0.245,0.195,0.245,0.195,0.374,0.186,0.307,0.562
Raido,0.195,0.0,0.324,0.0,0.0,0.0,0.0,0.195,0.195,0.395,0.195,0.562,0.333,0.0,0.0,0.395,0.245,0.195,0.245,0.195,0.374,0.186,0.307,0.562
Kenaz,0.186,0.0,0.324,0.0,0.0,0.0,0.0,0.186,0.186,0.395,0.186,0.56,0.324,0.0,0.0,0.386,0.179,0.186,0.179,0.195,0.317,0.186,0.307,0.562
Gebo,0.0,0.0,0.324,0.0,0.0,0.0,0.0,0.0,0.0,0.395,0.0,0.498,0.333,0.0,0.0,0.333,0.245,0.0,0.245,0.124,0.302,0.186,0.307,0.562
Wunjo,0.0,0.195,0.386,0.195,0.195,0.186,0.0,0.0,0.0,0.457,0.0,0.498,0.333,0.195,0.195,0.333,0.307,0.0,0.317,0.124,0.302,0.248,0.369,0.7
Hagal,0.0,0.195,0.176,0.195,0.195,0.186,0.0,0.0,0.0,0.124,0.0,0.498,0.186,0.195,0.195,0.333,0.307,0.0,0.317,0.124,0.302,0.186,0.245,0.551
Nauthiz,0.457,0.395,0.186,0.395,0.395,0.395,0.395,0.457,0.124,0.0,0.457,0.462,0.124,0.395,0.395,0.59,0.317,0.457,0.45,0.333,0.333,0.195,0.179,0.56
Isa,0.0,0.195,0.324,0.195,0.195,0.186,0.0,0.0,0.0,0.457,0.0,0.0,0.333,0.195,0.195,0.333,0.307,0.0,0.317,0.124,0.195,0.248,0.369,0.462
Jera,0.498,0.562,0.324,0.562,0.562,0.56,0.498,0.498,0.498,0.462,0.0,0.0,0.333,0.562,0.562,0.298,0.455,0.498,0.533,0.298,0.195,0.333,0.333,0.0
Eihwaz,0.333,0.333,0.124,0.333,0.333,0.324,0.333,0.333,0.186,0.124,0.333,0.333,0.0,0.333,0.333,0.498,0.179,0.333,0.446,0.324,0.395,0.0,0.302,0.565
Perthro,0.195,0.0,0.324,0.0,0.0,0.0,0.0,0.195,0.195,0.395,0.195,0.562,0.333,0.0,0.0,0.369,0.245,0.195,0.186,0.179,0.0,0.186,0.307,0.562
Algiz,0.195,0.0,0.324,0.0,0.0,0.0,0.0,0.195,0.195,0.395,0.195,0.562,0.333,0.0,0.0,0.395,0.245,0.195,0.245,0.195,0.374,0.186,0.307,0.562
Sowilo,0.333,0.395,0.555,0.395,0.395,0.386,0.333,0.333,0.333,0.59,0.333,0.298,0.498,0.369,0.395,0.0,0.0,0.333,0.298,0.0,0.0,0.498,0.333,0.298
Tiwaz,0.307,0.245,0.245,0.245,0.245,0.179,0.245,0.307,0.307,0.317,0.307,0.455,0.179,0.245,0.245,0.0,0.0,0.307,0.298,0.317,0.0,0.179,0.195,0.57
Berkano,0.0,0.195,0.386,0.195,0.195,0.186,0.0,0.0,0.0,0.457,0.0,0.498,0.333,0.195,0.195,0.333,0.307,0.0,0.317,0.124,0.302,0.248,0.369,0.7
Ehwaz,0.317,0.245,0.455,0.245,0.245,0.179,0.245,0.317,0.317,0.45,0.317,0.533,0.446,0.186,0.245,0.298,0.298,0.317,0.0,0.307,0.186,0.298,0.386,0.533
Mannaz,0.124,0.195,0.395,0.195,0.195,0.195,0.124,0.124,0.124,0.333,0.124,0.298,0.324,0.179,0.195,0.0,0.317,0.124,0.307,0.0,0.179,0.124,0.245,0.298
Laguz,0.302,0.374,0.386,0.374,0.374,0.317,0.302,0.302,0.302,0.333,0.195,0.195,0.395,0.0,0.374,0.0,0.0,0.302,0.186,0.179,0.0,0.245,0.333,0.324
Ingwaz,0.248,0.186,0.124,0.186,0.186,0.186,0.186,0.248,0.186,0.195,0.248,0.333,0.0,0.186,0.186,0.498,0.179,0.248,0.298,0.124,0.245,0.0,0.179,0.565
Dagaz,0.369,0.307,0.317,0.307,0.307,0.307,0.307,0.369,0.245,0.179,0.369,0.333,0.302,0.307,0.307,0.333,0.195,0.369,0.386,0.245,0.333,0.179,0.0,0.333
Othala,0.7,0.562,0.498,0.562,0.562,0.562,0.562,0.7,0.551,0.56,0.462,0.0,0.565,0.562,0.562,0.298,0.57,0.7,0.533,0.298,0.324,0.565,0.333,0.0
