,Thurz,Elk,Isa,Lake,Jera,Naud,Kenaz,Inguz,Othala,Fehu,Raido,Uruz,Ewaz,Hagal,Ansuz,Iwaz,Perto,Man,Gebo,Wunjo,Dag,Berk,Sun,Tyr
Thurz,0.000,0.876,1.294,1.260,1.206,1.256,1.331,1.412,1.369,1.349,1.267,1.396,1.335,1.389,1.393,1.395,1.411,1.402,1.374,1.410,1.360,1.371,1.350,1.356
Elk,0.876,0.000,1.188,1.102,1.070,1.099,1.156,1.232,1.191,1.172,1.099,1.216,1.155,1.204,1.204,1.207,1.228,1.219,1.187,1.222,1.169,1.176,1.163,1.169
Isa,1.294,1.188,0.000,0.259,0.146,0.231,0.285,0.365,0.317,0.305,0.244,0.330,0.292,0.334,0.336,0.337,0.362,0.356,0.312,0.355,0.292,0.306,0.299,0.302
Lake,1.260,1.102,0.259,0.000,0.162,0.139,0.198,0.277,0.233,0.220,0.164,0.234,0.200,0.237,0.239,0.241,0.271,0.264,0.219,0.262,0.206,0.218,0.212,0.214
Jera,1.206,1.070,0.146,0.162,0.000,0.098,0.150,0.230,0.183,0.176,0.125,0.197,0.162,0.197,0.198,0.200,0.223,0.217,0.173,0.217,0.162,0.171,0.164,0.166
Naud,1.256,1.099,0.231,0.139,0.098,0.000,0.075,0.147,0.107,0.105,0.055,0.122,0.088,0.121,0.123,0.124,0.140,0.135,0.096,0.133,0.086,0.093,0.090,0.092
Kenaz,1.331,1.156,0.285,0.198,0.150,0.075,0.000,0.095,0.052,0.066,0.031,0.076,0.044,0.079,0.082,0.083,0.094,0.088,0.053,0.087,0.040,0.051,0.042,0.045
Inguz,1.412,1.232,0.365,0.277,0.230,0.147,0.095,0.000,0.070,0.088,0.109,0.029,0.066,0.029,0.025,0.024,0.011,0.020,0.068,0.030,0.069,0.059,0.073,0.070
Othala,1.369,1.191,0.317,0.233,0.183,0.107,0.052,0.070,0.000,0.042,0.041,0.056,0.020,0.055,0.059,0.060,0.067,0.061,0.019,0.058,0.010,0.021,0.014,0.018
Fehu,1.349,1.172,0.305,0.220,0.176,0.105,0.066,0.088,0.042,0.000,0.051,0.070,0.034,0.071,0.074,0.075,0.081,0.075,0.031,0.073,0.040,0.038,0.043,0.040
Raido,1.267,1.099,0.244,0.164,0.125,0.055,0.031,0.109,0.041,0.051,0.000,0.074,0.037,0.073,0.074,0.075,0.083,0.076,0.038,0.075,0.037,0.048,0.038,0.041
Uruz,1.396,1.216,0.330,0.234,0.197,0.122,0.076,0.029,0.056,0.070,0.074,0.000,0.039,0.008,0.005,0.004,0.018,0.011,0.056,0.008,0.056,0.049,0.058,0.058
Ewaz,1.335,1.155,0.292,0.200,0.162,0.088,0.044,0.066,0.020,0.034,0.037,0.039,0.000,0.039,0.041,0.042,0.050,0.044,0.015,0.042,0.020,0.031,0.023,0.027
Hagal,1.389,1.204,0.334,0.237,0.197,0.121,0.079,0.029,0.055,0.071,0.073,0.008,0.039,0.000,0.006,0.007,0.020,0.013,0.053,0.007,0.052,0.043,0.053,0.052
Ansuz,1.393,1.204,0.336,0.239,0.198,0.123,0.082,0.025,0.059,0.074,0.074,0.005,0.041,0.006,0.000,0.003,0.021,0.015,0.054,0.005,0.054,0.044,0.055,0.053
Iwaz,1.395,1.207,0.337,0.241,0.200,0.124,0.083,0.024,0.060,0.075,0.075,0.004,0.042,0.007,0.003,0.000,0.019,0.014,0.053,0.005,0.053,0.044,0.055,0.053
Perto,1.411,1.228,0.362,0.271,0.223,0.140,0.094,0.011,0.067,0.081,0.083,0.018,0.050,0.020,0.021,0.019,0.000,0.009,0.060,0.021,0.061,0.051,0.064,0.060
Man,1.402,1.219,0.356,0.264,0.217,0.135,0.088,0.020,0.061,0.075,0.076,0.011,0.044,0.013,0.015,0.014,0.009,0.000,0.056,0.015,0.058,0.049,0.060,0.058
Gebo,1.374,1.187,0.312,0.219,0.173,0.096,0.053,0.068,0.019,0.031,0.038,0.056,0.015,0.053,0.054,0.053,0.060,0.056,0.000,0.053,0.014,0.024,0.015,0.015
Wunjo,1.410,1.222,0.355,0.262,0.217,0.133,0.087,0.030,0.058,0.073,0.075,0.008,0.042,0.007,0.005,0.005,0.021,0.015,0.053,0.000,0.053,0.043,0.055,0.053
Dag,1.360,1.169,0.292,0.206,0.162,0.086,0.040,0.069,0.010,0.040,0.020,0.052,0.054,0.053,0.061,0.058,0.014,0.053,0.009,0.028,0.000,0.028,0.009,0.011
Berk,1.421,1.234,0.305,0.215,0.176,0.094,0.047,0.072,0.015,0.044,0.024,0.056,0.058,0.056,0.065,0.061,0.019,0.058,0.011,0.031,0.009,0.000,0.013,0.014
Sun,1.398,1.220,0.298,0.210,0.168,0.091,0.044,0.070,0.013,0.042,0.022,0.055,0.057,0.055,0.062,0.060,0.017,0.057,0.010,0.029,0.011,0.013,0.000,0.012
Tyr,1.430,1.250,0.312,0.220,0.180,0.098,0.049,0.075,0.016,0.046,0.026,0.058,0.060,0.058,0.067,0.064,0.021,0.060,0.012,0.033,0.012,0.014,0.012,0.000
