Percent,HEX
0,#00bfff
1,#05c1f5
2,#0ac4eb
3,#0fc6e0
4,#14c9d6
5,#19cbcc
6,#1ecec2
7,#23d0b8
8,#28d3ad
9,#2dd5a3
10,#32d799
11,#37da8f
12,#3cdc85
13,#40df7a
14,#45e170
15,#4ae466
16,#4fe65c
17,#54e852
18,#59eb47
19,#5eed3d
20,#63f033
21,#68f229
22,#6df51f
23,#72f714
24,#77fa0a
25,#7cfc00
26,#81fb00
27,#86f900
28,#8cf800
29,#91f600
30,#96f500
31,#9bf300
32,#a1f200
33,#a6f000
34,#abef00
35,#b0ed00
36,#b6ec00
37,#bbea00
38,#c0e900
39,#c5e700
40,#cbe600
41,#d0e400
42,#d5e300
43,#dae100
44,#e0e000
45,#e5de00
46,#eadd00
47,#efdb00
48,#f5da00
49,#fad800
50,#ffd700
51,#ffd100
52,#ffcb00
53,#ffc500
54,#ffc000
55,#ffba00
56,#ffb400
57,#ffae00
58,#ffa800
59,#ffa200
60,#ff9d00
61,#ff9700
62,#ff9100
63,#ff8b00
64,#ff8500
65,#ff7f00
66,#ff7a00
67,#ff7400
68,#ff6e00
69,#ff6800
70,#ff6200
71,#ff5c00
72,#ff5700
73,#ff5100
74,#ff4b00
75,#ff4500
76,#fa4206
77,#f63f0b
78,#f13d11
79,#ec3a16
80,#e8371c
81,#e33421
82,#df3227
83,#da2f2c
84,#d52c32
85,#d12938
86,#cc273d
87,#c72443
88,#c32148
89,#be1e4e
90,#b91c53
91,#b51959
92,#b0165f
93,#ab1364
94,#a7116a
95,#a20e6f
96,#9e0b75
97,#99087a
98,#940680
99,#900385
100,#8b008b
